Results from heasarc_atnfpulsar: ATNF Pulsar Catalog
Coordinate system:  Equatorial: P>10 ms and Edot > 1e35
|name          |ra           |dec          |period           |period_error|period_dot |period_dot_error|age     |e_dot  |
|PSR J1846-0258|18 46 24.9400|-02 58 30.100|0.32657128834    |     5.0e-11|7.10745e-12|         3.0e-18|7.28e+02|8.1e+36|
|PSR J0534+2200|05 34 31.9730|+22 00 52.060|0.0333924123     |     1.2e-09|4.20972e-13|         3.0e-18|1.26e+03|4.5e+38|
|PSR J1513-5908|15 13 55.8110|-59 08 09.600|0.151581943393   |     5.0e-12|1.52869e-12|         7.0e-20|1.57e+03|1.7e+37|
|PSR J1119-6127|11 19 14.3000|-61 27 49.500|0.40796298356    |     9.0e-11|4.02022e-12|         1.7e-18|1.61e+03|2.3e+36|
|PSR J0540-6919|05 40 11.2020|-69 19 54.170|0.0505697030222  |     1.8e-12|4.78909e-13|         3.0e-19|1.67e+03|1.5e+38|
|PSR J1208-6238|12 08 13.9600|-62 38 03.300|0.440590723652   |     1.4e-11|3.26951e-12|         1.0e-18|2.14e+03|1.5e+36|
|PSR J1124-5916|11 24 39.0000|-59 16 19.000|0.13547685441    |     1.7e-10|7.52566e-13|         1.7e-17|2.85e+03|1.2e+37|
|PSR J1930+1852|19 30 30.1300|+18 52 14.100|0.136855046957   |     9.0e-12|7.50570e-13|         1.0e-17|2.89e+03|1.2e+37|
|PSR J1640-4631|16 40 43.5200|-46 31 35.400|0.2064430480     |     1.8e-09|9.76000e-13|         5.0e-15|3.35e+03|4.4e+36|
|PSR J1023-5746|10 23 02.9000|-57 46 05.000|0.11147243434    |     9.0e-11|3.83749e-13|         1.3e-18|4.60e+03|1.1e+37|
|PSR J1833-1034|18 33 33.5700|-10 34 07.500|0.06188365001063 |     1.2e-13|2.02015e-13|         4.0e-21|4.85e+03|3.4e+37|
|PSR J1838-0537|18 38 56.0200|-05 37 09.000|0.1457077402     |     3.0e-10|4.71790e-13|         3.0e-17|4.89e+03|6.0e+36|
|PSR J0537-6910|05 37 47.4160|-69 10 19.880|0.0161222220245  |     4.0e-13|5.17843e-14|         1.1e-20|4.93e+03|4.9e+38|
|PSR J1747-2809|17 47 22.8000|-28 09 15.000|0.052152855      |     2.0e-09|1.55570e-13|         3.0e-17|5.31e+03|4.3e+37|
|PSR J0205+6449|02 05 37.9225|+64 49 41.334|0.06571592849324 |     9.0e-14|1.93754e-13|         4.0e-21|5.37e+03|2.7e+37|
|PSR J1813-1749|18 13 35.1660|-17 49 57.480|0.0446993053     |     6.0e-10|1.26550e-13|         7.0e-17|5.60e+03|5.6e+37|
|PSR J1357-6429|13 57 02.4300|-64 29 30.200|0.166108327507   |     1.4e-11|3.60184e-13|         1.4e-18|7.31e+03|3.1e+36|
|PSR J1614-5048|16 14 11.2900|-50 48 03.500|0.23169383623    |     8.0e-11|4.94943e-13|         1.7e-17|7.42e+03|1.6e+36|
|PSR J1617-5055|16 17 29.3000|-50 55 13.200|0.069356847      |     3.0e-09|1.35100e-13|         2.0e-16|8.13e+03|1.6e+37|
|PSR J2022+3842|20 22 21.6890|+38 42 14.820|0.048578779636   |     2.4e-11|8.61000e-14|         2.0e-16|8.94e+03|3.0e+37|
|PSR J1418-6058|14 18 42.7000|-60 57 49.000|0.110573011690   |     1.3e-11|1.69394e-13|         1.0e-17|1.03e+04|4.9e+36|
|PSR J2229+6114|22 29 05.2800|+61 14 09.300|0.05162357393    |     6.0e-11|7.82700e-14|         2.0e-17|1.05e+04|2.2e+37|
|PSR J1301-6305|13 01 45.7600|-63 05 33.900|0.18452809509    |     6.0e-11|2.66747e-13|         3.0e-18|1.10e+04|1.7e+36|
|PSR J0835-4510|08 35 20.6115|-45 10 34.875|0.089328385024   |     4.0e-12|1.25008e-13|         1.6e-17|1.13e+04|6.9e+36|
|PSR J1907+0631|19 07 03.8160|+06 31 18.900|0.323648024490   |     1.9e-11|4.52155e-13|         1.2e-18|1.13e+04|5.3e+35|
|PSR J1844-0346|18 44 32.8900|-03 46 30.600|0.112854649905   |     1.1e-11|1.54703e-13|         7.0e-19|1.16e+04|4.2e+36|
|PSR J1341-6220|13 41 42.6300|-62 20 20.700|0.193339746306   |     1.9e-11|2.53107e-13|         3.0e-18|1.21e+04|1.4e+36|
|PSR J1400-6325|14 00 45.6900|-63 25 42.600|0.0311816011     |     3.0e-10|3.89000e-14|         6.0e-17|1.27e+04|5.1e+37|
|PSR J1420-6048|14 20 08.2370|-60 48 16.430|0.06817987659    |     2.0e-11|8.31670e-14|         3.0e-18|1.30e+04|1.0e+37|
|PSR J1413-6141|14 13 09.8700|-61 41 13.000|0.28562462018    |     1.6e-10|3.33440e-13|         1.5e-16|1.36e+04|5.6e+35|
|PSR J0007+7303|00 07 01.7000|+73 03 07.400|0.3158731909     |     3.0e-10|3.60390e-13|         5.0e-17|1.39e+04|4.5e+35|
|PSR J1826-1256|18 26 08.5300|-12 56 33.000|0.110223702460   |     4.0e-12|1.21451e-13|         1.3e-19|1.44e+04|3.6e+36|
|PSR J1801-2451|18 01 00.0160|-24 51 27.500|0.124924206569   |     8.0e-12|1.27906e-13|         5.0e-19|1.55e+04|2.6e+36|
|PSR J1803-2137|18 03 51.4105|-21 37 07.351|0.13366692025028 |     1.7e-13|1.34359e-13|         1.7e-20|1.58e+04|2.2e+36|
|PSR J1702-4310|17 02 26.9400|-43 10 40.000|0.24052386477    |     4.0e-11|2.23776e-13|         1.8e-18|1.70e+04|6.3e+35|
|PSR J2021+3651|20 21 05.4600|+36 51 04.800|0.103740952074   |     4.0e-12|9.57209e-14|         7.0e-19|1.72e+04|3.4e+36|
|PSR J1709-4429|17 09 42.7280|-44 29 08.240|0.102459245929   |     8.0e-12|9.29845e-14|         1.3e-19|1.75e+04|3.4e+36|
|PSR J2111+4606|21 11 24.1300|+46 06 31.300|0.157829924735   |     1.0e-11|1.43039e-13|         8.0e-19|1.75e+04|1.4e+36|
|PSR J2004+3429|20 04 46.9700|+34 29 17.700|0.24095264193    |     1.0e-11|2.06825e-13|         4.0e-18|1.85e+04|5.8e+35|
|PSR J1907+0602|19 07 54.7400|+06 02 16.900|0.106632746266   |     5.0e-12|8.68208e-14|         3.0e-19|1.95e+04|2.8e+36|
|PSR J1856+0113|18 56 10.6516|+01 13 21.000|0.26743960987    |     7.0e-11|2.08360e-13|         6.0e-19|2.03e+04|4.3e+35|
|PSR J1048-5832|10 48 13.0500|-58 32 06.200|0.123725343351   |     4.0e-12|9.61217e-14|         4.0e-19|2.04e+04|2.0e+36|
|PSR J1856+0245|18 56 50.9000|+02 45 47.000|0.08090668906    |     4.0e-11|6.21170e-14|         4.0e-18|2.06e+04|4.6e+36|
|PSR J1935+2025|19 35 41.9410|+20 25 40.100|0.080118133455   |     6.0e-12|6.07579e-14|         1.0e-19|2.09e+04|4.7e+36|
|PSR J1016-5857|10 16 21.1600|-58 57 12.100|0.1073864584588  |     1.5e-12|8.08342e-14|         6.0e-19|2.10e+04|2.6e+36|
|PSR J1826-1334|18 26 13.1750|-13 34 46.800|0.1014867942076  |     3.0e-13|7.52517e-14|         1.0e-20|2.14e+04|2.8e+36|
|PSR J1934+2352|19 34 46.1900|+23 52 55.900|0.17843152366    |     2.0e-11|1.30699e-13|         2.0e-18|2.16e+04|9.1e+35|
|PSR J1958+2846|19 58 40.0700|+28 45 54.000|0.29038924475    |     5.0e-11|2.12038e-13|         1.7e-17|2.17e+04|3.4e+35|
|PSR J1838-0655|18 38 03.1300|-06 55 33.400|0.070498243969   |     5.4e-11|4.92500e-14|         2.9e-16|2.27e+04|5.5e+36|
|PSR J1135-6055|11 35 00.0000|-60 55 00.000|0.114943         |     0.0e+00|7.93000e-14|         0.0e+00|2.30e+04|2.1e+36|
|PSR J1811-1925|18 11 29.2000|-19 25 28.000|0.06466700       |     2.0e-08|4.40000e-14|         4.0e-16|2.33e+04|6.4e+36|
|PSR J1909+0749|19 09 08.2000|+07 49 32.000|0.23716129322    |     9.0e-11|1.51920e-13|         9.0e-18|2.47e+04|4.5e+35|
|PSR J1410-6132|14 10 24.0000|-61 32 00.000|0.0500519462     |     0.0e+00|3.20000e-14|         0.0e+00|2.48e+04|1.0e+37|
|PSR J1747-2958|17 47 15.8820|-29 58 01.000|0.0988139764825  |     2.0e-12|6.13233e-14|         1.0e-19|2.55e+04|2.5e+36|
|PSR J1730-3350|17 30 32.5590|-33 50 39.000|0.139460211250   |     1.8e-11|8.48294e-14|         1.8e-19|2.60e+04|1.2e+36|
|PSR J2238+5903|22 38 28.2700|+59 03 40.800|0.162733852990   |     1.1e-11|9.70340e-14|         6.0e-18|2.66e+04|8.9e+35|
|PSR J1524-5625|15 24 49.8600|-56 25 23.400|0.078218548881   |     5.0e-12|3.89500e-14|         1.9e-19|3.18e+04|3.2e+36|
|PSR J1646-4346|16 46 51.3000|-43 46 38.000|0.23160332930    |     9.0e-11|1.12753e-13|         4.0e-18|3.25e+04|3.6e+35|
|PSR J1112-6103|11 12 14.8100|-61 03 31.100|0.064961851894   |     3.0e-12|3.14596e-14|         1.3e-18|3.27e+04|4.5e+36|
|PSR J1837-0604|18 37 43.5500|-06 04 49.000|0.09629420774    |     3.0e-11|4.51724e-14|         8.0e-19|3.38e+04|2.0e+36|
|PSR J0729-1448|07 29 16.4500|-14 48 36.800|0.251658714181   |     1.3e-11|1.13288e-13|         4.0e-19|3.52e+04|2.8e+35|
|PSR J1932+1916|19 32 19.7000|+19 16 39.000|0.208214903876   |     1.4e-11|9.31735e-14|         5.0e-19|3.54e+04|4.1e+35|
|PSR J1907+0918|19 07 22.4410|+09 18 30.760|0.2261071099878  |     6.0e-13|9.42955e-14|         4.0e-19|3.80e+04|3.2e+35|
|PSR J1015-5719|10 15 37.9600|-57 19 12.800|0.139881677595   |     4.0e-12|5.73680e-14|         1.2e-18|3.86e+04|8.3e+35|
